Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,3,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,127,4
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,10,5
Eastern,Cape Breton Complex,Regional Hospital,2023-01-01,Emergency Visits,3671,
Eastern,Cape Breton Complex,Regional Hospital,2023-01-01,Emergency Visits CTAS,51,1
Eastern,Cape Breton Complex,Regional Hospital,2023-01-01,Emergency Visits CTAS,1039,2
Eastern,Cape Breton Complex,Regional Hospital,2023-01-01,Emergency Visits CTAS,1550,3
Eastern,Cape Breton Complex,Regional Hospital,2023-01-01,Emergency Visits CTAS,941,4
Eastern,Cape Breton Complex,Regional Hospital,2023-01-01,Emergency Visits CTAS,89,5
Eastern,Cape Breton Complex,Regional Hospital,2023-02-01,Emergency Visits,3145,
Eastern,Cape Breton Complex,Regional Hospital,2023-02-01,Emergency Visits CTAS,30,1
Eastern,Cape Breton Complex,Regional Hospital,2023-02-01,Emergency Visits CTAS,909,2
Eastern,Cape Breton Complex,Regional Hospital,2023-02-01,Emergency Visits CTAS,1420,3
Eastern,Cape Breton Complex,Regional Hospital,2023-02-01,Emergency Visits CTAS,719,4
Eastern,Cape Breton Complex,Regional Hospital,2023-02-01,Emergency Visits CTAS,67,5
Eastern,Cape Breton Complex,Regional Hospital,2023-03-01,Emergency Visits,3621,
Eastern,Cape Breton Complex,Regional Hospital,2023-03-01,Emergency Visits CTAS,27,1
Eastern,Cape Breton Complex,Regional Hospital,2023-03-01,Emergency Visits CTAS,981,2
Eastern,Cape Breton Complex,Regional Hospital,2023-03-01,Emergency Visits CTAS,1603,3
Eastern,Cape Breton Complex,Regional Hospital,2023-03-01,Emergency Visits CTAS,936,4
Eastern,Cape Breton Complex,Regional Hospital,2023-03-01,Emergency Visits CTAS,74,5
Eastern,Cape Breton Complex,Regional Hospital,2023-04-01,Emergency Visits,3548,
Eastern,Cape Breton Complex,Regional Hospital,2023-04-01,Emergency Visits CTAS,22,1
Eastern,Cape Breton Complex,Regional Hospital,2023-04-01,Emergency Visits CTAS,1068,2
Eastern,Cape Breton Complex,Regional Hospital,2023-04-01,Emergency Visits CTAS,1492,3
Eastern,Cape Breton Complex,Regional Hospital,2023-04-01,Emergency Visits CTAS,906,4
Eastern,Cape Breton Complex,Regional Hospital,2023-04-01,Emergency Visits CTAS,60,5
Eastern,Cape Breton Complex,Regional Hospital,2023-05-01,Emergency Visits,3944,
Eastern,Cape Breton Complex,Regional Hospital,2023-05-01,Emergency Visits CTAS,33,1
Eastern,Cape Breton Complex,Regional Hospital,2023-05-01,Emergency Visits CTAS,1105,2
Eastern,Cape Breton Complex,Regional Hospital,2023-05-01,Emergency Visits CTAS,1736,3
Eastern,Cape Breton Complex,Regional Hospital,2023-05-01,Emergency Visits CTAS,987,4
Eastern,Cape Breton Complex,Regional Hospital,2023-05-01,Emergency Visits CTAS,82,5
Eastern,Cape Breton Complex,Regional Hospital,2023-06-01,Emergency Visits,3670,
Eastern,Cape Breton Complex,Regional Hospital,2023-06-01,Emergency Visits CTAS,32,1
Eastern,Cape Breton Complex,Regional Hospital,2023-06-01,Emergency Visits CTAS,1048,2
Eastern,Cape Breton Complex,Regional Hospital,2023-06-01,Emergency Visits CTAS,1631,3
