Hospital,Date,CTAS1,CTAS2,CTAS3,CTAS4,CTAS5,total_ER,low_severity,low_ratio
Victoria County Memorial Hospital,Aug-23,0,20,184,415,30,649,445,0.69
Victoria County Memorial Hospital,Sep-23,0,12,157,406,35,610,441,0.72
Victoria County Memorial Hospital,Oct-23,0,8,174,408,36,626,444,0.71
Victoria County Memorial Hospital,Nov-23,0,8,162,432,43,645,475,0.74
Victoria County Memorial Hospital,Dec-23,0,17,128,499,69,713,568,0.8
Yarmouth Regional Hospital,Jan-23,24,440,991,398,41,1894,439,0.23
Yarmouth Regional Hospital,Feb-23,26,363,847,396,39,1671,435,0.26
Yarmouth Regional Hospital,Mar-23,28,414,915,462,45,1864,507,0.27
Yarmouth Regional Hospital,Apr-23,22,487,792,476,56,1833,532,0.29
Yarmouth Regional Hospital,May-23,17,524,922,632,53,2148,685,0.32
Yarmouth Regional Hospital,Jun-23,32,512,860,626,37,2067,663,0.32
Yarmouth Regional Hospital,Jul-23,34,547,994,757,61,2393,818,0.34
Yarmouth Regional Hospital,Aug-23,31,642,1015,707,59,2454,766,0.31
Yarmouth Regional Hospital,Sep-23,36,527,803,558,50,1974,608,0.31
Yarmouth Regional Hospital,Oct-23,24,610,902,566,75,2177,641,0.29
Yarmouth Regional Hospital,Nov-23,23,574,858,506,75,2036,581,0.29
Yarmouth Regional Hospital,Dec-23,40,602,858,550,64,2114,614,0.29
