Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Western,Annapolis Community Health Centre,Community Hospital,2023-11-01,Emergency Visits,222,
Western,Annapolis Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,1,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,17,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,118,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-11-01,Emergency Visits CTAS,86,5.0
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,225,
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,0,1.0
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,1,2.0
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,22,3.0
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,127,4.0
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,74,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-01-01,Emergency Visits,225,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,1,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,14,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,67,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,134,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-01-01,Emergency Visits CTAS,9,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-02-01,Emergency Visits,204,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,0,1.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,10,2.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,82,3.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,96,4.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-02-01,Emergency Visits CTAS,13,5.0
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-03-01,Emergency Visits,243,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-03-01,Emergency Visits CTAS,1,1.0
